school,city,county,SchoolCode,SchoolName
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,0111856,AIMS College Prep High
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,0130609,Alameda Community Learning Center
ALAMEDA HIGH SCHOOL,Alameda,Alameda,0130229,Alameda High
ALAMEDA SCIENCE & TECHNICAL INST,Alameda,Alameda,0106401,Alameda Science and Technology Institute
ALBANY HIGH SCHOOL,Albany,Alameda,0130450,Albany High
ALTERNATIVES IN ACTION HIGH SCHOOL,Oakland,Alameda,0130625,Alternatives in Action
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,0130583,Amador Valley High
AMERICAN HIGH SCHOOL,Fremont,Alameda,0130062,American High
ARISE HIGH SCHOOL,Oakland,Alameda,0115238,ARISE High
ARROYO HIGH SCHOOL,San Lorenzo,Alameda,0130849,Arroyo High
ASPIRE GOLDEN STATE COLLG PREP ACAD,Oakland,Alameda,0118224,Aspire Golden State College Preparatory Academy
ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,0130666,Aspire Lionel Wilson College Preparatory Academy
BAY AREA TECHNOLOGY-BAYTECH,Oakland,Alameda,0106906,Bay Area Technology
BERKELEY HIGH SCHOOL,Berkeley,Alameda,0131177,Berkeley High
CASTLEMONT HIGH SCHOOL,Oakland,Alameda,0125161,Castlemont High
CASTRO VALLEY HIGH SCHOOL,Castro Valley,Alameda,0132225,Castro Valley High
CIRCLE OF INDEPENDENT LEARNING,Fremont,Alameda,0130534,Circle of Independent Learning
COLISEUM COLLEGE PREP ACADEMY,Oakland,Alameda,0112797,Coliseum College Prep Academy
DUBLIN HIGH SCHOOL,Dublin,Alameda,0132704,Dublin High
EAST BAY INNOVATION ACADEMY,Oakland,Alameda,0129932,East Bay Innovation Academy
EMERY SECONDARY SCHOOL,Emeryville,Alameda,0132746,Emery Secondary
ENCINAL HIGH SCHOOL,Alameda,Alameda,0132142,Encinal Junior/Senior High
ENVISION ACAD ARTS/TECHNOLOGY,Oakland,Alameda,0112607,Envision Academy for Arts & Technology
FOOTHILL HIGH SCHOOL,Pleasanton,Alameda,0130096,Foothill High
FREMONT HIGH SCHOOL,Oakland,Alameda,0125716,Fremont High
GRANADA HIGH SCHOOL,Livermore,Alameda,0133397,Granada High
HAYWARD HIGH SCHOOL,Hayward,Alameda,0133629,Hayward High
HAYWARD TWIN OAKS MONTESSORI,Hayward,Alameda,0127944,Hayward Twin Oaks Montessori
IMPACT ACAD ARTS/TECHNOLOGY,Hayward,Alameda,0137646,Impact Academy of Arts & Technology
IRVINGTON HIGH SCHOOL,Fremont,Alameda,0134270,Irvington High
JAMES LOGAN HIGH SCHOOL,Union City,Alameda,0134668,James Logan High
JOHN F KENNEDY HIGH SCHOOL,Fremont,Alameda,0134452,John F. Kennedy High
KIPP KING COLLEGIATE HIGH SCH,San Lorenzo,Alameda,0114421,KIPP King Collegiate High
LATITUDE 37.8 HS MERRITT COLLEGE,Oakland,Alameda,0138289,Latitude 37.8 High
LEADERSHIP PUBLIC SCH HAYWARD,Hayward,Alameda,0108670,Leadership Public Schools - Hayward
LIFE ACADEMY HIGH SCHOOL,Oakland,Alameda,0130575,LIFE Academy
LIGHTHOUSE COMMUNITY CHAR HS,Oakland,Alameda,0108944,Lighthouse Community Charter High
LIVERMORE HIGH SCHOOL,Livermore,Alameda,0134536,Livermore High
LODESTAR LIGHTHOUSE COMM CHARTER SC,Oakland,Alameda,0134015,Lodestar: A Lighthouse Community Charter Public
LPS OAKLAND R&D CAMPUS,Oakland,Alameda,0126748,LPS Oakland R & D Campus
MADISON PARK ACADEMY,Oakland,Alameda,6066450,Madison Park Academy 6-12
